DateTime,AppTemperature,Temperature,CloudCover,DewPoint,Humidity,Pressure,WindBearing,WindSpeed,Prod
4/1/2013 03:00,12.6,12.6,81,12.6,76,1008,245,1.94,0.028169014
4/1/2013 04:00,13,13,91,13,78,1009,215,2.28,0.028169014
4/1/2013 05:00,12.9,12.9,98,12.9,80,1009,194,2.17,0.021126761
4/1/2013 06:00,12.7,12.7,100,12.7,81,1009,179,1.97,0.070422535
4/1/2013 07:00,13,13,96,13,80,1008,162,2.08,0.035211268
4/1/2013 08:00,14.2,14.2,100,14.2,77,1008,159,2.11,0.11971831
4/1/2013 09:00,15.1,15.1,97,15.1,76,1009,154,1.92,0.11971831
4/1/2013 10:00,15.2,15.2,99,15.2,78,1009,163,2.44,0.063380282
4/1/2013 11:00,15.6,15.6,100,15.6,79,1009,148,1.89,0.042253521
4/1/2013 12:00,16,16,99,16,77,1009,139,1.75,0
4/1/2013 13:00,16.8,16.8,99,16.8,72,1009,133,2.14,0
4/1/2013 14:00,17.5,17.5,100,17.5,68,1009,132,2.53,0
4/1/2013 15:00,18.5,18.5,100,18.5,62,1009,158,2.39,0.021126761
4/1/2013 16:00,19.8,19.8,100,19.8,60,1008,176,2.19,0.014084507
4/1/2013 17:00,18.8,18.8,100,18.8,69,1008,224,2.14,0.077464789
4/1/2013 18:00,17.7,17.7,100,17.7,78,1008,266,2.22,0.028169014
4/1/2013 19:00,15.9,15.9,100,15.9,85,1007,248,2.08,0
4/1/2013 20:00,13.3,13.3,79,13.3,93,1008,230,1.97,0
4/1/2013 21:00,11.7,11.7,17,11.7,94,1009,214,1.72,0
4/1/2013 22:00,10.8,10.8,7,10.8,94,1010,200,2.19,0
4/1/2013 23:00,10.4,10.4,2,10.4,95,1011,191,2.44,0.007042254
4/2/2013 00:00,8.6,9.8,7,8.6,95,1012,186,2.42,0.014084507
4/2/2013 01:00,7.9,9.3,0,7.9,94,1012,191,2.53,0.028169014
4/2/2013 02:00,7.3,8.8,0,7.3,93,1012,192,2.61,0.042253521
4/2/2013 03:00,6.7,8.4,4,6.7,91,1013,189,2.69,0.105633803
4/2/2013 04:00,5.8,7.5,0,5.8,91,1013,187,2.47,0.077464789
